"simulation_id","seed","dgp","cv_method","cv_mse","test_mse","estimation_error","squared_estimation_error","absolute_estimation_error","runtime_seconds","n_train","n_test","n_validation_predictions","k","h","success","error_message"
1,20261816,"AR(1)","kfold",1.02139495365893,0.975988235295083,0.045406718363849,0.0020617700725739,0.045406718363849,0.0109391212463379,154,66,154,5,NA,TRUE,""
1,20261816,"AR(1)","blocked",0.998152883575764,0.975988235295083,0.0221646482806809,0.00049127163340629,0.0221646482806809,0.0159919261932373,154,66,154,5,NA,TRUE,""
1,20261816,"AR(1)","hblock",1.01394132997193,0.975988235295083,0.0379530946768506,0.00144043739554999,0.0379530946768506,0.0224149227142334,154,66,154,5,5,TRUE,""
1,20261816,"AR(1)","rolling_origin",1.0302066728946,0.975988235295083,0.0542184375995142,0.00293963897573241,0.0542184375995142,0.0169429779052734,154,66,77,5,NA,TRUE,""
2,20262816,"AR(1)","kfold",1.01953524283548,0.760361461908121,0.259173780927364,0.0671710487201853,0.259173780927364,0.0136029720306396,154,66,154,5,NA,TRUE,""
2,20262816,"AR(1)","blocked",1.00947730072146,0.760361461908121,0.249115838813342,0.0620587011476748,0.249115838813342,0.0160079002380371,154,66,154,5,NA,TRUE,""
2,20262816,"AR(1)","hblock",1.01197490311089,0.760361461908121,0.251613441202773,0.0633093237939011,0.251613441202773,0.0237679481506348,154,66,154,5,5,TRUE,""
2,20262816,"AR(1)","rolling_origin",1.06917398153433,0.760361461908121,0.308812519626213,0.0953651722778899,0.308812519626213,0.0164589881896973,154,66,77,5,NA,TRUE,""
3,20263816,"AR(1)","kfold",1.03433076959178,1.04979140806239,-0.0154606384706102,0.000239031341918912,0.0154606384706102,0.0146958827972412,154,66,154,5,NA,TRUE,""
3,20263816,"AR(1)","blocked",1.1047292863544,1.04979140806239,0.0549378782920091,0.00301817047122761,0.0549378782920091,0.0128238201141357,154,66,154,5,NA,TRUE,""
3,20263816,"AR(1)","hblock",1.09287660304954,1.04979140806239,0.0430851949871431,0.00185633402708014,0.0430851949871431,0.0108261108398438,154,66,154,5,5,TRUE,""
3,20263816,"AR(1)","rolling_origin",1.28606527665964,1.04979140806239,0.236273868597242,0.0558253409819068,0.236273868597242,0.00963187217712402,154,66,77,5,NA,TRUE,""
4,20264816,"AR(1)","kfold",1.13774997001991,1.11468707434123,0.0230628956786771,0.000531897157085545,0.0230628956786771,0.0111069679260254,154,66,154,5,NA,TRUE,""
4,20264816,"AR(1)","blocked",1.12071180753874,1.11468707434123,0.00602473319751073,3.62974101011879e-05,0.00602473319751073,0.0100531578063965,154,66,154,5,NA,TRUE,""
4,20264816,"AR(1)","hblock",1.12923338032744,1.11468707434123,0.0145463059862136,0.000211595017844555,0.0145463059862136,0.0137381553649902,154,66,154,5,5,TRUE,""
4,20264816,"AR(1)","rolling_origin",1.15786614227349,1.11468707434123,0.0431790679322552,0.00186443190749831,0.0431790679322552,0.00884103775024414,154,66,77,5,NA,TRUE,""
5,20265816,"AR(1)","kfold",1.09533559544854,0.922068447132318,0.173267148316224,0.0300215046856362,0.173267148316224,0.0099339485168457,154,66,154,5,NA,TRUE,""
5,20265816,"AR(1)","blocked",1.10723474331026,0.922068447132318,0.185166296177943,0.0342865572402576,0.185166296177943,0.0106351375579834,154,66,154,5,NA,TRUE,""
5,20265816,"AR(1)","hblock",1.10303233441428,0.922068447132318,0.180963887281963,0.032747928500199,0.180963887281963,0.0101330280303955,154,66,154,5,5,TRUE,""
5,20265816,"AR(1)","rolling_origin",1.30095898512754,0.922068447132318,0.378890537995223,0.14355803978231,0.378890537995223,0.00993204116821289,154,66,77,5,NA,TRUE,""
6,20266816,"AR(1)","kfold",1.21942766534332,1.06335034414952,0.156077321193798,0.0243601301910319,0.156077321193798,0.00881719589233398,154,66,154,5,NA,TRUE,""
6,20266816,"AR(1)","blocked",1.25959080332366,1.06335034414952,0.196240459174143,0.0385103178168784,0.196240459174143,0.00851106643676758,154,66,154,5,NA,TRUE,""
6,20266816,"AR(1)","hblock",1.26195398869363,1.06335034414952,0.198603644544109,0.0394434076262028,0.198603644544109,0.00985407829284668,154,66,154,5,5,TRUE,""
6,20266816,"AR(1)","rolling_origin",1.318851815535,1.06335034414952,0.255501471385477,0.0652810018801435,0.255501471385477,0.00865387916564941,154,66,77,5,NA,TRUE,""
7,20267816,"AR(1)","kfold",1.09062850187412,1.25022771970178,-0.159599217827654,0.025471910331199,0.159599217827654,0.00840210914611816,154,66,154,5,NA,TRUE,""
7,20267816,"AR(1)","blocked",1.05030527370747,1.25022771970178,-0.199922445994307,0.0399689844123465,0.199922445994307,0.00888490676879883,154,66,154,5,NA,TRUE,""
7,20267816,"AR(1)","hblock",1.06100795926369,1.25022771970178,-0.189219760438091,0.0358041177402485,0.189219760438091,0.00932693481445312,154,66,154,5,5,TRUE,""
7,20267816,"AR(1)","rolling_origin",0.785004850869965,1.25022771970178,-0.465222868831813,0.216432317684102,0.465222868831813,0.00990700721740723,154,66,77,5,NA,TRUE,""
8,20268816,"AR(1)","kfold",0.980078184606097,0.999179216538625,-0.0191010319325278,0.000364849420887445,0.0191010319325278,0.0109419822692871,154,66,154,5,NA,TRUE,""
8,20268816,"AR(1)","blocked",0.95687524689226,0.999179216538625,-0.042303969646365,0.00178962584784057,0.042303969646365,0.0158259868621826,154,66,154,5,NA,TRUE,""
8,20268816,"AR(1)","hblock",0.962985601727567,0.999179216538625,-0.0361936148110574,0.0013099777530912,0.0361936148110574,0.0108928680419922,154,66,154,5,5,TRUE,""
8,20268816,"AR(1)","rolling_origin",0.922214235880019,0.999179216538625,-0.0769649806586057,0.00592360824777955,0.0769649806586057,0.00964498519897461,154,66,77,5,NA,TRUE,""
9,20269816,"AR(1)","kfold",1.0999775741736,1.02996432926349,0.0700132449101079,0.00490185446284274,0.0700132449101079,0.00883913040161133,154,66,154,5,NA,TRUE,""
9,20269816,"AR(1)","blocked",1.11466530674506,1.02996432926349,0.0847009774815686,0.00717425558633319,0.0847009774815686,0.00855898857116699,154,66,154,5,NA,TRUE,""
9,20269816,"AR(1)","hblock",1.09967476198138,1.02996432926349,0.069710432717887,0.00485954442971505,0.069710432717887,0.00940895080566406,154,66,154,5,5,TRUE,""
9,20269816,"AR(1)","rolling_origin",0.940283952956387,1.02996432926349,-0.0896803763071017,0.00804256989458337,0.0896803763071017,0.00836515426635742,154,66,77,5,NA,TRUE,""
10,20270816,"AR(1)","kfold",0.964298816863286,1.34345760343221,-0.379158786568927,0.143761385432421,0.379158786568927,0.0089411735534668,154,66,154,5,NA,TRUE,""
10,20270816,"AR(1)","blocked",0.97072694459858,1.34345760343221,-0.372730658833633,0.138928144034554,0.372730658833633,0.0136921405792236,154,66,154,5,NA,TRUE,""
10,20270816,"AR(1)","hblock",0.966274947967165,1.34345760343221,-0.377182655465048,0.142266755583665,0.377182655465048,0.0111360549926758,154,66,154,5,5,TRUE,""
10,20270816,"AR(1)","rolling_origin",0.89551253342809,1.34345760343221,-0.447945070004123,0.200654785740998,0.447945070004123,0.00991201400756836,154,66,77,5,NA,TRUE,""
11,20271816,"AR(1)","kfold",1.12186107986863,1.05562416194085,0.0662369179277777,0.00438732929657117,0.0662369179277777,0.00919294357299805,154,66,154,5,NA,TRUE,""
11,20271816,"AR(1)","blocked",1.08296233691414,1.05562416194085,0.0273381749732866,0.000747375810870034,0.0273381749732866,0.00855112075805664,154,66,154,5,NA,TRUE,""
11,20271816,"AR(1)","hblock",1.08334226984478,1.05562416194085,0.0277181079039324,0.000768293505774038,0.0277181079039324,0.00865602493286133,154,66,154,5,5,TRUE,""
11,20271816,"AR(1)","rolling_origin",0.922428276591968,1.05562416194085,-0.133195885348882,0.0177411438738726,0.133195885348882,0.00808596611022949,154,66,77,5,NA,TRUE,""
12,20272816,"AR(1)","kfold",0.960783878047323,1.04542631419806,-0.0846424361507363,0.00716434199753147,0.0846424361507363,0.00932002067565918,154,66,154,5,NA,TRUE,""
12,20272816,"AR(1)","blocked",0.988182094120809,1.04542631419806,-0.0572442200772505,0.00327690073225269,0.0572442200772505,0.0135998725891113,154,66,154,5,NA,TRUE,""
12,20272816,"AR(1)","hblock",0.980274717135976,1.04542631419806,-0.0651515970620841,0.00424473059974016,0.0651515970620841,0.0101909637451172,154,66,154,5,5,TRUE,""
12,20272816,"AR(1)","rolling_origin",1.11103973241958,1.04542631419806,0.0656134182215242,0.00430512065071265,0.0656134182215242,0.0097658634185791,154,66,77,5,NA,TRUE,""
13,20273816,"AR(1)","kfold",1.25619405468387,0.90743926287673,0.348754791807136,0.121629904808439,0.348754791807136,0.00949287414550781,154,66,154,5,NA,TRUE,""
13,20273816,"AR(1)","blocked",1.29697598645651,0.90743926287673,0.389536723579778,0.151738859017268,0.389536723579778,0.00868892669677734,154,66,154,5,NA,TRUE,""
13,20273816,"AR(1)","hblock",1.27493309029349,0.90743926287673,0.367493827416762,0.135051713189421,0.367493827416762,0.00992107391357422,154,66,154,5,5,TRUE,""
13,20273816,"AR(1)","rolling_origin",1.41709574980206,0.90743926287673,0.509656486925332,0.259749734665071,0.509656486925332,0.00960087776184082,154,66,77,5,NA,TRUE,""
14,20274816,"AR(1)","kfold",1.35120501836239,1.12636919898864,0.224835819373754,0.0505511456734672,0.224835819373754,0.0147280693054199,154,66,154,5,NA,TRUE,""
