"simulation_id","seed","dgp","cv_method","split_id","train_n","validation_n","train_time_min","train_time_max","validation_time_min","validation_time_max","validation_contiguous","uses_future_training","h","removed_time_min","removed_time_max"
1,20261816,"AR(1)","kfold",1,123,31,31,184,32,182,FALSE,TRUE,NA,NA,NA
1,20261816,"AR(1)","kfold",2,123,31,31,183,33,184,FALSE,TRUE,NA,NA,NA
1,20261816,"AR(1)","kfold",3,123,31,32,184,31,183,FALSE,TRUE,NA,NA,NA
1,20261816,"AR(1)","kfold",4,123,31,31,184,35,176,FALSE,TRUE,NA,NA,NA
1,20261816,"AR(1)","kfold",5,124,30,31,184,38,181,FALSE,TRUE,NA,NA,NA
1,20261816,"AR(1)","blocked",1,123,31,62,184,31,61,TRUE,TRUE,NA,NA,NA
1,20261816,"AR(1)","blocked",2,123,31,31,184,62,92,TRUE,TRUE,NA,NA,NA
1,20261816,"AR(1)","blocked",3,123,31,31,184,93,123,TRUE,TRUE,NA,NA,NA
1,20261816,"AR(1)","blocked",4,123,31,31,184,124,154,TRUE,TRUE,NA,NA,NA
1,20261816,"AR(1)","blocked",5,124,30,31,154,155,184,TRUE,FALSE,NA,NA,NA
1,20261816,"AR(1)","hblock",1,118,31,67,184,31,61,TRUE,TRUE,5,31,66
1,20261816,"AR(1)","hblock",2,113,31,31,184,62,92,TRUE,TRUE,5,57,97
1,20261816,"AR(1)","hblock",3,113,31,31,184,93,123,TRUE,TRUE,5,88,128
1,20261816,"AR(1)","hblock",4,113,31,31,184,124,154,TRUE,TRUE,5,119,159
1,20261816,"AR(1)","hblock",5,119,30,31,149,155,184,TRUE,FALSE,5,150,184
1,20261816,"AR(1)","rolling_origin",1,77,16,31,107,108,123,TRUE,FALSE,NA,NA,NA
1,20261816,"AR(1)","rolling_origin",2,93,16,31,123,124,139,TRUE,FALSE,NA,NA,NA
1,20261816,"AR(1)","rolling_origin",3,109,16,31,139,140,155,TRUE,FALSE,NA,NA,NA
1,20261816,"AR(1)","rolling_origin",4,125,16,31,155,156,171,TRUE,FALSE,NA,NA,NA
1,20261816,"AR(1)","rolling_origin",5,141,13,31,171,172,184,TRUE,FALSE,NA,NA,NA
2,20262816,"AR(1)","kfold",1,123,31,31,183,32,184,FALSE,TRUE,NA,NA,NA
2,20262816,"AR(1)","kfold",2,123,31,32,184,31,170,FALSE,TRUE,NA,NA,NA
2,20262816,"AR(1)","kfold",3,123,31,31,184,42,177,FALSE,TRUE,NA,NA,NA
2,20262816,"AR(1)","kfold",4,123,31,31,184,33,181,FALSE,TRUE,NA,NA,NA
2,20262816,"AR(1)","kfold",5,124,30,31,184,53,183,FALSE,TRUE,NA,NA,NA
2,20262816,"AR(1)","blocked",1,123,31,62,184,31,61,TRUE,TRUE,NA,NA,NA
2,20262816,"AR(1)","blocked",2,123,31,31,184,62,92,TRUE,TRUE,NA,NA,NA
2,20262816,"AR(1)","blocked",3,123,31,31,184,93,123,TRUE,TRUE,NA,NA,NA
2,20262816,"AR(1)","blocked",4,123,31,31,184,124,154,TRUE,TRUE,NA,NA,NA
2,20262816,"AR(1)","blocked",5,124,30,31,154,155,184,TRUE,FALSE,NA,NA,NA
2,20262816,"AR(1)","hblock",1,118,31,67,184,31,61,TRUE,TRUE,5,31,66
2,20262816,"AR(1)","hblock",2,113,31,31,184,62,92,TRUE,TRUE,5,57,97
2,20262816,"AR(1)","hblock",3,113,31,31,184,93,123,TRUE,TRUE,5,88,128
2,20262816,"AR(1)","hblock",4,113,31,31,184,124,154,TRUE,TRUE,5,119,159
2,20262816,"AR(1)","hblock",5,119,30,31,149,155,184,TRUE,FALSE,5,150,184
2,20262816,"AR(1)","rolling_origin",1,77,16,31,107,108,123,TRUE,FALSE,NA,NA,NA
