"dgp","cv_method","cv_error","test_error","bias"
"AR(1)","blocked",1.00407860757118,1.00311764431985,0.000960963251335254
"ARMA(1,1)","blocked",1.02011188722591,1.01341217024819,0.00669971697771922
"MA(1)","blocked",1.01865951509132,1.01658365802521,0.00207585706611124
"AR(1)","hblock",1.00302679169983,1.00308586752075,-5.90758209190421e-05
"ARMA(1,1)","hblock",1.01695230686191,1.0129606869486,0.00399161991331763
"MA(1)","hblock",1.01625442346063,1.01483199849511,0.00142242496552455
"AR(1)","kfold",1.00306249149268,1.00263765590046,0.000424835592225095
"ARMA(1,1)","kfold",1.01958531005688,1.01226986273572,0.00731544732115598
"MA(1)","kfold",1.01910376592249,1.01441227320694,0.00469149271555144
"AR(1)","loocv",1.00181162227896,1.00250060023192,-0.000688977952967832
"ARMA(1,1)","loocv",1.01504325419661,1.01211435742927,0.00292889676734153
"MA(1)","loocv",1.01531424139645,1.01390815749681,0.0014060838996406
"AR(1)","rolling_origin",0.970937707663128,1.00585060317585,-0.0349128955127211
"ARMA(1,1)","rolling_origin",0.967099078665802,1.0352423411958,-0.0681432625299989
"MA(1)","rolling_origin",0.964671556041275,1.02550726192153,-0.0608357058802584
