"DGP","CV_Method","Mean_CV_RMSE","Mean_Test_RMSE","Mean_Bias","Abs_Bias"
"AR(1)","Blocked",1.0041,1.0031,0.001,0.001
"AR(1)","h-block",1.003,1.0031,-1e-04,1e-04
"AR(1)","k-fold",1.0031,1.0026,4e-04,4e-04
"AR(1)","LOOCV",1.0018,1.0025,-7e-04,7e-04
"AR(1)","Rolling-origin",0.9709,1.0059,-0.0349,0.0349
"ARMA(1,1)","Blocked",1.0201,1.0134,0.0067,0.0067
"ARMA(1,1)","h-block",1.017,1.013,0.004,0.004
"ARMA(1,1)","k-fold",1.0196,1.0123,0.0073,0.0073
"ARMA(1,1)","LOOCV",1.015,1.0121,0.0029,0.0029
"ARMA(1,1)","Rolling-origin",0.9671,1.0352,-0.0681,0.0681
"MA(1)","Blocked",1.0187,1.0166,0.0021,0.0021
"MA(1)","h-block",1.0163,1.0148,0.0014,0.0014
"MA(1)","k-fold",1.0191,1.0144,0.0047,0.0047
"MA(1)","LOOCV",1.0153,1.0139,0.0014,0.0014
"MA(1)","Rolling-origin",0.9647,1.0255,-0.0608,0.0608
